filepath,file_size_mb,modalities_present,num_timesteps,lat,lon
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_0.h5,18.98,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189667,118.031837
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_1.h5,18.78,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189667,118.031837
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_10.h5,20.21,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.120155,118.057457
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_100.h5,18.49,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.142832,118.110321
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_101.h5,18.72,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.142832,118.110321
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_102.h5,18.50,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.142832,118.110321
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_103.h5,18.82,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.142832,118.110321
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_104.h5,20.84,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.165934,118.110573
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_105.h5,21.46,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.165934,118.110573
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_106.h5,21.15,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.165934,118.110573
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_107.h5,21.25,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.165934,118.110573
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_108.h5,21.12,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189035,118.110825
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_109.h5,21.54,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189035,118.110825
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_11.h5,20.14,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.120155,118.057457
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_110.h5,21.42,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189035,118.110825
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_111.h5,21.66,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.189035,118.110825
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_112.h5,21.38,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.212137,118.111069
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_113.h5,21.01,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.212137,118.111069
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_114.h5,21.17,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.212137,118.111069
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_115.h5,21.25,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.212137,118.111069
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_116.h5,20.73,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.235237,118.111320
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_117.h5,20.65,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.235237,118.111320
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_118.h5,21.02,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.235237,118.111320
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_119.h5,20.95,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.235237,118.111320
/mnt/ht2_nas2/00-model/zhejiang_10_test/sample_12.h5,21.96,sentinel2_l2a|rgb|srtm|lt1|worldcover|landcover_30m|landsat|worldcereal|landcover_1m|sentinel1|sar,15,29.143257,118.057693
