file,dataset,shape,dtype,min,max,mean,std,nan_count,nan_ratio(%),zero_count,zero_ratio(%),special_-99999_count,special_ratio(%),total_elements
sample_5.h5,landcover_1m,"(1280, 1280, 1, 1)",uint8,0.0,9.0,2.184706,0.850637,0,0.0,166,0.01,0,0.0,1638400
sample_5.h5,landcover_30m,"(1280, 1280, 1, 1)",uint8,1.0,2.0,1.946826,0.224381,0,0.0,0,0.0,0,0.0,1638400
sample_5.h5,latlon,"(2,)",float32,29.189461,118.058167,73.623814,44.434353,0,0.0,0,0.0,0,0.0,2
sample_5.h5,lt1,"(1280, 1280, 15, 1)",uint8,1.0,255.0,53.791124,46.706288,0,0.0,0,0.0,0,0.0,24576000
sample_5.h5,missing_timesteps_masks/lt1,"(15,)",bool,1.0,1.0,1.0,0.0,0,0.0,0,0.0,0,0.0,15
sample_5.h5,missing_timesteps_masks/rgb,"(15,)",bool,0.0,1.0,0.866667,0.339935,0,0.0,2,13.33,0,0.0,15
sample_5.h5,missing_timesteps_masks/sar,"(15,)",bool,0.0,1.0,0.733333,0.442217,0,0.0,4,26.67,0,0.0,15
sample_5.h5,rgb,"(1280, 1280, 13, 4)",uint8,6.0,255.0,64.393155,45.10316,0,0.0,0,0.0,0,0.0,85196800
sample_5.h5,sar,"(1280, 1280, 11, 1)",uint8,1.0,255.0,57.40568,48.705984,0,0.0,0,0.0,0,0.0,18022400
sample_5.h5,srtm,"(1280, 1280, 1, 1)",int16,139.0,322.0,209.268559,35.182146,0,0.0,0,0.0,0,0.0,1638400
sample_5.h5,timestamps,"(15, 3)",int32,0.0,2026.0,676.933333,953.37192,0,0.0,2,4.44,0,0.0,45
sample_5.h5,worldcereal,"(1280, 1280, 1, 8)",uint8,0.0,100.0,0.123291,3.509117,0,0.0,13091040,99.88,0,0.0,13107200
sample_5.h5,worldcover,"(1280, 1280, 1, 1)",int8,10.0,60.0,10.905499,5.120647,0,0.0,0,0.0,0,0.0,1638400
sample_10.h5,landcover_1m,"(1280, 1280, 1, 1)",uint8,0.0,9.0,2.426293,1.336124,0,0.0,398,0.02,0,0.0,1638400
sample_10.h5,landcover_30m,"(1280, 1280, 1, 1)",uint8,1.0,8.0,1.997816,0.793612,0,0.0,0,0.0,0,0.0,1638400
sample_10.h5,latlon,"(2,)",float32,29.096844,118.083527,73.590185,44.493341,0,0.0,0,0.0,0,0.0,2
sample_10.h5,lt1,"(1280, 1280, 15, 1)",uint8,1.0,255.0,56.323494,49.08854,0,0.0,0,0.0,0,0.0,24576000
sample_10.h5,missing_timesteps_masks/lt1,"(15,)",bool,1.0,1.0,1.0,0.0,0,0.0,0,0.0,0,0.0,15
sample_10.h5,missing_timesteps_masks/rgb,"(15,)",bool,0.0,1.0,0.866667,0.339935,0,0.0,2,13.33,0,0.0,15
sample_10.h5,missing_timesteps_masks/sar,"(15,)",bool,0.0,1.0,0.733333,0.442217,0,0.0,4,26.67,0,0.0,15
sample_10.h5,rgb,"(1280, 1280, 13, 4)",uint8,0.0,255.0,74.973383,57.869691,0,0.0,273784,0.32,0,0.0,85196800
sample_10.h5,sar,"(1280, 1280, 11, 1)",uint8,1.0,255.0,62.418214,53.639,0,0.0,0,0.0,0,0.0,18022400
sample_10.h5,srtm,"(1280, 1280, 1, 1)",int16,105.0,447.0,226.524966,78.114977,0,0.0,0,0.0,0,0.0,1638400
sample_10.h5,timestamps,"(15, 3)",int32,0.0,2026.0,676.933333,953.37192,0,0.0,2,4.44,0,0.0,45
sample_10.h5,worldcereal,"(1280, 1280, 1, 8)",uint8,0.0,100.0,0.498413,7.042222,0,0.0,13041872,99.5,0,0.0,13107200
sample_10.h5,worldcover,"(1280, 1280, 1, 1)",int8,10.0,80.0,13.138232,9.723591,0,0.0,0,0.0,0,0.0,1638400
sample_9.h5,landcover_1m,"(1280, 1280, 1, 1)",uint8,0.0,9.0,2.075359,0.617417,0,0.0,220,0.01,0,0.0,1638400
sample_9.h5,landcover_30m,"(1280, 1280, 1, 1)",uint8,0.0,8.0,1.972313,0.242365,0,0.0,16617,1.01,0,0.0,1638400
sample_9.h5,latlon,"(2,)",float32,29.073742,118.083282,73.578512,44.50477,0,0.0,0,0.0,0,0.0,2
