,model generator module name,loss type,backbone,desired input size,pretrained,lr backbone,lr head,optimizer,in chans,default input size,n backbone features,batch size,generate experiment dir,experiment name,experiment type,benchmark dir,benchmark name,partition name,tasks,seed,log dir,best step,score,epoch,train loss,convergence time,test loss,val loss,test metric,val metric,train metric,dataset,exp dir,csv log dir,model,weights,date str,date
5222,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",0,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_0/csv_logs/version_0,295,0.5250169038772583,9,0.5305025577545166,512.0,1.443492770195007,1.4851011037826538,0.529411792755127,0.5192697644233704,0.788144052028656,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 0,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 0/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5223,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",1,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_1/csv_logs/version_0,279,0.5174667437871296,8,0.5280162692070007,640.0,1.474381446838379,1.4924640655517578,0.523326575756073,0.5070993900299072,0.7911455631256104,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 1,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 1/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5224,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",2,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_2/csv_logs/version_0,383,0.5258057316144307,11,0.6104506850242615,896.0,1.4680007696151731,1.5664010047912598,0.5354969501495361,0.5253549814224243,0.8146573305130005,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 2,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 2/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5225,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",3,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_3/csv_logs/version_0,655,0.5253549681769477,20,0.3349730670452118,1920.0,1.6831040382385254,1.8183817863464355,0.5385395288467407,0.5223124027252197,0.8916958570480347,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 3,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 3/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5226,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",4,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_4/csv_logs/version_0,343,0.5158891081809998,10,0.6544627547264099,768.0,1.468402862548828,1.575695514678955,0.5375253558158875,0.5152129530906677,0.8131566047668457,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 4,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 4/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5227,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",5,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_5/csv_logs/version_0,383,0.5318909287452697,11,0.4642149209976196,768.0,1.4625797271728516,1.5268579721450806,0.546653151512146,0.529411792755127,0.8294147253036499,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 5,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 5/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5228,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",6,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_6/csv_logs/version_0,383,0.5312147869004143,11,0.6453776359558105,896.0,1.488998293876648,1.507856369018555,0.5273833870887756,0.5263691544532776,0.8229114413261414,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 6,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 6/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5229,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",7,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_7/csv_logs/version_0,383,0.5486815373102824,11,0.6251571774482727,768.0,1.4267199039459229,1.512095928192139,0.5598376989364624,0.5527383089065552,0.8236618041992188,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 7,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 7/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5230,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",8,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_8/csv_logs/version_0,311,0.511606944931878,9,0.6072642207145691,768.0,1.4789437055587769,1.5546061992645264,0.5212981700897217,0.4979715943336487,0.8036518096923828,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 8,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 8/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
5231,geobench exp.torch toolbox.model generators.timm generator,crossentropy,ViT-T-timm,224,True,4.4157087483833035e-05,0.00406370241352612,sgd,3,"[3, 224, 224]",192,128,/mnt/data/experiments/nils/camera class sweeps,0.20x train,seeded runs,/mnt/data/cc benchmark/classification v0.8.5,classification v0.8.5,0.20x train,"['m-bigearthnet', 'm-pv4ger', 'm-brick-kiln', 'm-forestnet', 'm-eurosat', 'm-so2sat']",9,/mnt/data/experiments/nils/camera_class_seeds/0.20x_train_classification_v0.8.5_10-20-2023_07:35:43vit_tiny_patch16_224/m-so2sat/seed_9/csv_logs/version_0,335,0.5273833672205607,10,0.645824670791626,640.0,1.5125606060028076,1.581699252128601,0.517241358757019,0.5101419687271118,0.8139069676399231,m-so2sat,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 9,/mnt/data/experiments/nils/camera class seeds/0.20x train v0.8.5 10-20-2023 07:35:43vit tiny patch16 224/m-so2sat/seed 9/csv logs/version 0,ViT-T-timm,,10-20-2023,2023-10-20
