sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,3.745076,0.000035,0.000005,0.040434,0.000332,0.000006,0.002466,3.788361
0,3.854197,0.000036,0.000005,0.060606,0.000387,0.000006,0.000445,3.915688
0,3.887712,0.000044,0.000006,0.017290,0.000402,0.000007,0.007397,3.912879
0,3.969900,0.000037,0.000005,0.019602,0.000320,0.000005,0.002257,3.992136
0,4.226616,0.000040,0.000007,0.026974,0.000378,0.000005,0.000580,4.254608
0,4.825902,0.000049,0.000005,0.039852,0.000380,0.000005,0.000370,4.866567
0,3.686581,0.000048,0.000008,0.014012,0.000360,0.000005,0.000664,3.701687
0,5.788766,0.000036,0.000005,0.035707,0.000329,0.000005,0.000692,5.825547
0,5.799797,0.000041,0.000005,0.032814,0.000333,0.000005,0.001543,5.834547
1,0.008994,0.000065,0.000008,0.041275,0.000323,0.000004,0.000543,0.051213
2,0.007414,0.000034,0.000003,0.017783,0.000298,0.000004,0.000521,0.026059
1,0.005470,0.000036,0.000005,0.094964,0.000394,0.000006,0.000478,0.101357
1,0.005108,0.000033,0.000003,0.100437,0.000393,0.000006,0.000216,0.106198
1,0.011314,0.000073,0.000009,0.088111,0.000374,0.000007,0.000821,0.100715
2,0.006202,0.000034,0.000003,0.013084,0.000310,0.000005,0.000188,0.019829
1,0.008949,0.000052,0.000006,0.111583,0.000482,0.000006,0.008624,0.129715
3,0.006750,0.000030,0.000003,0.038392,0.000282,0.000004,0.000542,0.046006
2,0.007232,0.000041,0.000004,0.046421,0.000378,0.000005,0.000498,0.054581
1,0.007005,0.000046,0.000005,0.148626,0.000574,0.000011,0.008784,0.165073
1,0.012603,0.000049,0.000006,0.150760,0.000791,0.000010,0.001352,0.165581
1,0.008417,0.000079,0.000008,0.163712,0.000485,0.000009,0.000336,0.173052
1,0.010656,0.000066,0.000005,0.156727,0.000494,0.000010,0.003917,0.171892
1,0.011238,0.000079,0.000014,0.163222,0.001007,0.000010,0.004743,0.180325
4,0.005018,0.000028,0.000003,0.044953,0.000304,0.000004,0.000506,0.050820
5,0.005646,0.000027,0.000003,0.008477,0.000268,0.000004,0.000478,0.014905
2,0.007413,0.000039,0.000006,0.108228,0.000420,0.000006,0.001266,0.117385
2,0.007758,0.000034,0.000004,0.083732,0.000325,0.000005,0.007426,0.099290
3,0.007096,0.000040,0.000004,0.108387,0.000362,0.000005,0.000256,0.116152
6,0.005255,0.000033,0.000003,0.041658,0.000269,0.000003,0.000551,0.047775
3,0.009254,0.000045,0.000003,0.098416,0.000358,0.000004,0.000436,0.108519
4,0.008406,0.000038,0.000005,0.029150,0.000392,0.000005,0.000208,0.038207
2,0.013356,0.000055,0.000006,0.108228,0.000369,0.000005,0.000649,0.122672
7,0.004515,0.000032,0.000003,0.039295,0.000274,0.000004,0.000594,0.044720
8,0.003911,0.000025,0.000003,0.033449,0.000234,0.000005,0.000526,0.038154
2,0.013129,0.000081,0.000006,0.143675,0.000445,0.000009,0.002994,0.160348
2,0.008980,0.000044,0.000004,0.161915,0.000429,0.000012,0.004740,0.176135
3,0.012292,0.000065,0.000007,0.107086,0.000378,0.000005,0.000882,0.120721
9,0.003915,0.000025,0.000003,0.006535,0.000238,0.000003,0.000470,0.011192
2,0.008826,0.000046,0.000005,0.170467,0.000487,0.000009,0.000335,0.180179
10,0.004448,0.000036,0.000003,0.008057,0.000293,0.000004,0.000537,0.013381
3,0.009823,0.000038,0.000004,0.116466,0.000430,0.000006,0.009282,0.136057
2,0.009749,0.000038,0.000003,0.173245,0.000919,0.000024,0.010934,0.194930
11,0.004705,0.000030,0.000003,0.004934,0.000255,0.000004,0.000549,0.010484
5,0.006555,0.000038,0.000004,0.088251,0.000324,0.000004,0.000190,0.095371
4,0.006556,0.000041,0.000005,0.112306,0.000331,0.000004,0.000394,0.119640
3,0.006309,0.000035,0.000005,0.095472,0.000365,0.000004,0.000656,0.102852
12,0.004963,0.000032,0.000003,0.033664,0.000261,0.000003,0.000543,0.039472
5,0.008936,0.000038,0.000004,0.025793,0.000374,0.000004,0.000434,0.035587
13,0.004381,0.000028,0.000003,0.003516,0.000289,0.000004,0.000533,0.008756
4,0.009865,0.000047,0.000006,0.100898,0.000344,0.000005,0.000865,0.112037
14,0.004080,0.000030,0.000003,0.036774,0.000225,0.000003,0.000471,0.041589
15,0.004341,0.000028,0.000003,0.003202,0.000236,0.000003,0.000523,0.008339
4,0.009651,0.000043,0.000004,0.097555,0.000361,0.000004,0.009252,0.116879
5,0.007664,0.000043,0.000005,0.017577,0.000343,0.000005,0.000832,0.026476
3,0.014732,0.000076,0.000007,0.129362,0.000503,0.000012,0.004885,0.149589
0,6.392973,0.000058,0.000009,0.038629,0.000497,0.000008,0.001024,6.433213
16,0.010412,0.000034,0.000004,0.003956,0.000301,0.000004,0.000624,0.015336
4,0.009378,0.000067,0.000005,0.104611,0.000485,0.000006,0.000880,0.115440
6,0.008655,0.000039,0.000004,0.122881,0.000397,0.000005,0.000241,0.132225
3,0.008992,0.000052,0.000005,0.164241,0.000450,0.000009,0.000353,0.174106
3,0.011245,0.000048,0.000006,0.152867,0.000514,0.000011,0.004442,0.169145
17,0.005585,0.000029,0.000003,0.038759,0.000252,0.000003,0.000537,0.045171
3,0.021208,0.000049,0.000005,0.184558,0.000501,0.000010,0.003275,0.209618
6,0.007154,0.000040,0.000003,0.120002,0.000371,0.000005,0.000438,0.128017
4,0.013710,0.000052,0.000005,0.028315,0.000586,0.000012,0.005930,0.048622
18,0.004498,0.000031,0.000003,0.045876,0.000267,0.000003,0.000533,0.051214
6,0.006653,0.000038,0.000006,0.111834,0.000369,0.000007,0.000729,0.119641
1,0.008437,0.000054,0.000005,0.109380,0.000402,0.000005,0.000781,0.119070
7,0.007649,0.000035,0.000005,0.095768,0.000334,0.000004,0.000202,0.104001
5,0.009136,0.000038,0.000004,0.116343,0.000390,0.000007,0.009385,0.135309
0,6.417096,0.000073,0.000010,0.148923,0.000638,0.000013,0.000684,6.567452
5,0.009428,0.000063,0.000005,0.121780,0.000393,0.000005,0.000674,0.132352
4,0.010714,0.000040,0.000004,0.139689,0.000415,0.000010,0.004556,0.155439
19,0.008248,0.000031,0.000003,0.039904,0.000269,0.000003,0.000542,0.049003
6,0.007895,0.000038,0.000004,0.020835,0.000371,0.000007,0.010163,0.039326
7,0.009550,0.000043,0.000005,0.110636,0.000365,0.000005,0.000455,0.121063
20,0.004827,0.000030,0.000003,0.041608,0.000286,0.000003,0.000549,0.047310
2,0.007502,0.000040,0.000005,0.094047,0.000358,0.000007,0.000919,0.102884
21,0.004690,0.000029,0.000004,0.007207,0.000251,0.000004,0.000543,0.012732
8,0.009274,0.000041,0.000005,0.101793,0.000396,0.000005,0.000212,0.111727
4,0.009375,0.000054,0.000005,0.197749,0.000460,0.000010,0.000352,0.208011
0,6.604571,0.000065,0.000007,0.047854,0.000696,0.000014,0.025368,6.678590
4,0.012880,0.000083,0.000009,0.182086,0.000785,0.000023,0.005899,0.201779
