sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
0,0.020058,0.000046,0.000007,0.026348,0.000485,0.000005,0.000360,0.047314,0
0,0.026269,0.000067,0.000011,0.031466,0.001189,0.000019,0.007951,0.067017,0
0,0.024872,0.000063,0.000008,0.041265,0.000617,0.000012,0.002468,0.069328,0
0,0.026070,0.000069,0.000008,0.030611,0.000676,0.000013,0.020502,0.077985,0
0,0.024970,0.000058,0.000006,0.060607,0.000497,0.000007,0.000425,0.086578,0
0,0.034276,0.000070,0.000011,0.060266,0.000678,0.000011,0.003400,0.098742,0
1,0.007453,0.000037,0.000004,0.049783,0.000327,0.000005,0.000160,0.057772,0
2,0.012232,0.000034,0.000003,0.016771,0.000310,0.000004,0.000173,0.029528,0
1,0.008207,0.000036,0.000004,0.059273,0.000335,0.000005,0.000228,0.068091,0
0,0.027970,0.000054,0.000006,0.128573,0.000880,0.000012,0.003707,0.161212,0
0,0.025218,0.000057,0.000009,0.157120,0.000776,0.000015,0.000739,0.183944,0
0,0.036389,0.000057,0.000007,0.153190,0.000650,0.000011,0.002941,0.193257,0
0,0.031676,0.000096,0.000018,0.157805,0.001326,0.000032,0.007200,0.198184,0
0,0.026261,0.000064,0.000008,0.172780,0.000585,0.000011,0.000750,0.200472,0
0,0.027675,0.000067,0.000014,0.158288,0.000642,0.000011,0.018217,0.204943,0
3,0.007744,0.000032,0.000003,0.056176,0.000298,0.000005,0.000172,0.064433,0
0,0.028070,0.000070,0.000012,0.181038,0.000680,0.000011,0.000739,0.210633,0
1,0.012591,0.000053,0.000005,0.036377,0.000393,0.000007,0.002096,0.051530,0
0,0.025359,0.000064,0.000008,0.162156,0.000809,0.000011,0.029042,0.217470,0
2,0.015820,0.000039,0.000003,0.053432,0.000344,0.000004,0.000234,0.069878,0
0,0.034658,0.000092,0.000013,0.188956,0.001416,0.000030,0.007564,0.232770,0
1,0.014367,0.000054,0.000005,0.151289,0.000520,0.000013,0.004624,0.170885,0
4,0.011442,0.000032,0.000003,0.016536,0.000343,0.000004,0.000172,0.028535,0
1,0.013392,0.000054,0.000006,0.026464,0.000366,0.000005,0.000372,0.040660,0
0,0.029764,0.000073,0.000008,0.204582,0.000665,0.000013,0.009613,0.244730,0
1,0.018188,0.000052,0.000007,0.148506,0.000275,0.000004,0.016226,0.183270,0
1,0.015810,0.000061,0.000006,0.046786,0.000698,0.000019,0.005746,0.069141,0
2,0.023125,0.000057,0.000006,0.018134,0.000497,0.000011,0.004735,0.046573,0
2,0.011880,0.000052,0.000006,0.016096,0.000426,0.000010,0.002750,0.031228,0
5,0.017219,0.000040,0.000003,0.045235,0.000295,0.000004,0.000162,0.062960,0
1,0.022060,0.000087,0.000015,0.181914,0.000598,0.000010,0.003575,0.208276,0
3,0.012230,0.000041,0.000004,0.064735,0.000356,0.000005,0.000232,0.077606,0
1,0.025922,0.000077,0.000007,0.051708,0.000562,0.000012,0.003932,0.082232,0
1,0.022317,0.000108,0.000013,0.221689,0.000736,0.000018,0.002465,0.247355,0
2,0.011332,0.000049,0.000004,0.106361,0.000396,0.000009,0.002320,0.120479,0
3,0.013076,0.000052,0.000005,0.030210,0.000244,0.000006,0.006136,0.049737,0
2,0.016658,0.000079,0.000008,0.018996,0.000617,0.000011,0.002768,0.039147,0
3,0.023338,0.000048,0.000004,0.051825,0.000521,0.000009,0.004395,0.080154,0
6,0.011295,0.000038,0.000003,0.058800,0.000279,0.000004,0.000171,0.070591,0
4,0.012072,0.000041,0.000004,0.056954,0.000311,0.000005,0.000221,0.069609,0
1,0.016385,0.000058,0.000007,0.178710,0.000593,0.000011,0.000513,0.196285,0
1,0.012668,0.000052,0.000009,0.160791,0.000489,0.000010,0.000386,0.174413,0
3,0.018518,0.000049,0.000007,0.034294,0.000402,0.000008,0.002196,0.055480,0
1,0.019132,0.000063,0.000006,0.181219,0.000507,0.000009,0.002602,0.203548,0
1,0.015611,0.000054,0.000007,0.171250,0.000446,0.000007,0.015298,0.202686,0
3,0.014305,0.000045,0.000006,0.042520,0.000725,0.000015,0.004070,0.061696,0
1,0.014024,0.000045,0.000007,0.175758,0.000566,0.000009,0.023777,0.214201,0
7,0.010025,0.000031,0.000002,0.057582,0.000317,0.000005,0.000182,0.068147,0
4,0.011037,0.000044,0.000004,0.039913,0.000313,0.000005,0.010621,0.061949,0
1,0.017647,0.000059,0.000007,0.163685,0.000525,0.000014,0.021004,0.202954,0
5,0.010521,0.000034,0.000003,0.077740,0.000688,0.000015,0.000604,0.089613,0
2,0.015735,0.000064,0.000008,0.195441,0.000462,0.000011,0.000535,0.212264,0
2,0.013402,0.000046,0.000006,0.187992,0.000439,0.000009,0.014576,0.216479,0
8,0.014266,0.000036,0.000003,0.015578,0.000308,0.000004,0.000165,0.030361,0
5,0.013975,0.000046,0.000005,0.015901,0.000531,0.000012,0.002954,0.033436,0
2,0.032470,0.000053,0.000010,0.166761,0.000481,0.000007,0.003379,0.203171,0
4,0.022899,0.000097,0.000005,0.153171,0.000428,0.000008,0.002600,0.179214,0
2,0.024140,0.000038,0.000003,0.191969,0.000576,0.000012,0.002667,0.219415,0
9,0.007748,0.000042,0.000003,0.057891,0.000307,0.000005,0.000167,0.066165,0
4,0.022618,0.000059,0.000012,0.159298,0.000503,0.000008,0.003762,0.186271,0
2,0.019327,0.000062,0.000007,0.163369,0.000606,0.000016,0.000561,0.183955,0
6,0.014154,0.000042,0.000004,0.082668,0.000298,0.000005,0.000239,0.097412,0
2,0.017653,0.000050,0.000008,0.174983,0.000496,0.000011,0.000386,0.193591,0
4,0.013479,0.000048,0.000004,0.147291,0.000354,0.000008,0.001740,0.162932,0
2,0.013788,0.000049,0.000005,0.165114,0.000420,0.000006,0.017892,0.197289,0
2,0.026763,0.000069,0.000006,0.176472,0.000546,0.000011,0.003305,0.207181,0
3,0.028467,0.000073,0.000006,0.040336,0.000468,0.000011,0.002379,0.071749,0
10,0.011479,0.000031,0.000003,0.061094,0.000299,0.000004,0.000169,0.073081,0
3,0.025419,0.000055,0.000007,0.036990,0.000509,0.000009,0.000400,0.063395,0
